Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Data Group - view,,,,2023-08-21 15:12:15,2023-08-21 15:12:20,5.171s,FAILED
,,,,,,,
Test Cases/Master Data/Data Group/Data Group - View,,,,2023-08-21 15:12:17,2023-08-21 15:12:20,2.499s,FAILED
Start listener action : beforeTestCase,,,,2023-08-21 15:12:17,2023-08-21 15:12:17,0.032s,PASSED
Start listener action : beforeTestCase,,,,2023-08-21 15:12:17,2023-08-21 15:12:17,0.005s,PASSED
handleWebDriver = new care.katalon.HandleWebDriver(),,,,2023-08-21 15:12:18,2023-08-21 15:12:18,0.009s,PASSED
handleWebDriver.startAndOpenWebBrowser(baseUrl),,,,2023-08-21 15:12:18,2023-08-21 15:12:20,1.937s,FAILED
Start listener action : afterTestCase,,,,2023-08-21 15:12:20,2023-08-21 15:12:20,0.055s,ERROR
Start listener action : afterTestCase,,,,2023-08-21 15:12:20,2023-08-21 15:12:20,0.004s,ERROR
