Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Data Group - view,Chrome 115.0.0.0,,,2023-08-21 15:43:55,2023-08-21 15:44:48,52.782s,PASSED
,,,,,,,
Test Cases/Master Data/Data Group/Data Group - View,Chrome 115.0.0.0,,,2023-08-21 15:43:57,2023-08-21 15:44:48,50.236s,PASSED
Start listener action : beforeTestCase,Chrome 115.0.0.0,,,2023-08-21 15:43:57,2023-08-21 15:43:57,0.025s,PASSED
Start listener action : beforeTestCase,Chrome 115.0.0.0,,,2023-08-21 15:43:57,2023-08-21 15:43:58,0.006s,PASSED
handleWebDriver = new care.katalon.HandleWebDriver(),Chrome 115.0.0.0,,,2023-08-21 15:43:58,2023-08-21 15:43:58,0.007s,PASSED
handleWebDriver.startAndOpenWebBrowser(baseUrl),Chrome 115.0.0.0,,,2023-08-21 15:43:58,2023-08-21 15:44:01,3.029s,PASSED
generalAction = new care.katalon.GeneralAction(),Chrome 115.0.0.0,,,2023-08-21 15:44:01,2023-08-21 15:44:01,0.017s,PASSED
handleTestData = new care.katalon.HandleTestData(),Chrome 115.0.0.0,,,2023-08-21 15:44:01,2023-08-21 15:44:01,0.007s,PASSED
dataGroup = new masterdata.care.DataGroup(),Chrome 115.0.0.0,,,2023-08-21 15:44:01,2023-08-21 15:44:01,0.009s,PASSED
"generalAction.login("""")",Chrome 115.0.0.0,,,2023-08-21 15:44:01,2023-08-21 15:44:07,5.602s,PASSED
dataGroup.menuDataGroup(),Chrome 115.0.0.0,,,2023-08-21 15:44:07,2023-08-21 15:44:11,4.807s,PASSED
"excelLocation = ""Master Data\Data Group\dataGroup - view.xlsx""",Chrome 115.0.0.0,,,2023-08-21 15:44:11,2023-08-21 15:44:11,0.001s,PASSED
"sheetNameDataGroup = ""DataGroup-view""",Chrome 115.0.0.0,,,2023-08-21 15:44:11,2023-08-21 15:44:11,0.001s,PASSED
"listHashMapDataGroup = handleTestData.readTestData(excelLocation, sheetNameDataGroup, true)",Chrome 115.0.0.0,,,2023-08-21 15:44:11,2023-08-21 15:44:12,0.607s,PASSED
"for ([i = 0, i < listHashMapDataGroup.size(), (i++)])",Chrome 115.0.0.0,,,2023-08-21 15:44:12,2023-08-21 15:44:48,35.628s,PASSED
Start listener action : afterTestCase,Chrome 115.0.0.0,,,2023-08-21 15:44:48,2023-08-21 15:44:48,0.046s,ERROR
Start listener action : afterTestCase,Chrome 115.0.0.0,,,2023-08-21 15:44:48,2023-08-21 15:44:48,0.003s,ERROR
