Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
generalAction = new care.katalon.GeneralAction(),Chrome 116.0.0.0,,,2023-08-23 14:59:06,2023-08-23 14:59:06,0.000s,PASSED
handleTestData = new care.katalon.HandleTestData(),Chrome 116.0.0.0,,,2023-08-23 14:59:06,2023-08-23 14:59:06,0.001s,PASSED
dataCustomer = new masterdata.care.DataCustomer(),Chrome 116.0.0.0,,,2023-08-23 14:59:06,2023-08-23 14:59:06,0.000s,PASSED
"generalAction.login("""")",Chrome 116.0.0.0,,,2023-08-23 14:59:06,2023-08-23 14:59:12,5.919s,PASSED
dataCustomer.menuDataCustomer(),Chrome 116.0.0.0,,,2023-08-23 14:59:12,2023-08-23 14:59:18,6.152s,PASSED
"excelLocation = ""Master Data\Data Customer\dataCustomer - edit.xlsx""",Chrome 116.0.0.0,,,2023-08-23 14:59:18,2023-08-23 14:59:18,0.000s,PASSED
"sheetNameEditDataCustomer = ""DataCustomer-Edit""",Chrome 116.0.0.0,,,2023-08-23 14:59:18,2023-08-23 14:59:18,0.000s,PASSED
"listHashMapEditDataCustomer = handleTestData.readTestData(excelLocation, sheetNameEditDataCustomer, true)",Chrome 116.0.0.0,,,2023-08-23 14:59:18,2023-08-23 14:59:18,0.040s,PASSED
"namaCustomer = """"",Chrome 116.0.0.0,,,2023-08-23 14:59:18,2023-08-23 14:59:18,0.000s,PASSED
dataEdit = new java.util.HashMap(),Chrome 116.0.0.0,,,2023-08-23 14:59:18,2023-08-23 14:59:18,0.000s,PASSED
dataWithSameCustomerName = new java.util.ArrayList(),Chrome 116.0.0.0,,,2023-08-23 14:59:18,2023-08-23 14:59:18,0.000s,PASSED
"for ([i = 0, i < listHashMapEditDataCustomer.size(), (i++)])",Chrome 116.0.0.0,,,2023-08-23 14:59:18,2023-08-23 14:59:18,0.011s,PASSED
for (String i : dataEdit.keySet()),Chrome 116.0.0.0,,,2023-08-23 14:59:18,2023-08-23 14:59:42,24.384s,PASSED
generalAction.logoutAndCloseBrowser(),Chrome 116.0.0.0,,,2023-08-23 14:59:42,2023-08-23 14:59:51,8.861s,PASSED
Start listener action : afterTestCase,Chrome 116.0.0.0,,,2023-08-23 14:59:51,2023-08-23 14:59:51,0.087s,PASSED
